date,Thread-Gen-1.sinusoid
11/6/2018 7:31:49.000000000 PM,87
11/6/2018 7:31:50.000000000 PM,86
11/6/2018 7:31:51.000000000 PM,85
11/6/2018 7:31:52.000000000 PM,84
11/6/2018 7:31:53.000000000 PM,83
11/6/2018 7:31:54.000000000 PM,82
11/6/2018 7:31:55.000000000 PM,81
11/6/2018 7:31:56.000000000 PM,80
11/6/2018 7:31:57.000000000 PM,79
11/6/2018 7:31:58.000000000 PM,78
11/6/2018 7:31:59.000000000 PM,77
11/6/2018 7:32:00.000000000 PM,76
11/6/2018 7:32:01.000000000 PM,75
11/6/2018 7:32:02.000000000 PM,74
11/6/2018 7:32:03.000000000 PM,73
11/6/2018 7:32:04.000000000 PM,71
11/6/2018 7:32:05.000000000 PM,70
11/6/2018 7:32:06.000000000 PM,69
11/6/2018 7:32:07.000000000 PM,68
11/6/2018 7:32:08.000000000 PM,66
11/6/2018 7:32:09.000000000 PM,65
11/6/2018 7:32:10.000000000 PM,64
11/6/2018 7:32:11.000000000 PM,62
11/6/2018 7:32:12.000000000 PM,61
11/6/2018 7:32:13.000000000 PM,60
11/6/2018 7:32:14.000000000 PM,58
11/6/2018 7:32:15.000000000 PM,57
11/6/2018 7:32:16.000000000 PM,55
11/6/2018 7:32:17.000000000 PM,54
11/6/2018 7:32:18.000000000 PM,52
11/6/2018 7:32:19.000000000 PM,51
11/6/2018 7:32:20.000000000 PM,49
11/6/2018 7:32:21.000000000 PM,48
11/6/2018 7:32:22.000000000 PM,46
11/6/2018 7:32:23.000000000 PM,45
11/6/2018 7:32:24.000000000 PM,43
11/6/2018 7:32:25.000000000 PM,42
11/6/2018 7:32:26.000000000 PM,40
11/6/2018 7:32:27.000000000 PM,39
11/6/2018 7:32:28.000000000 PM,37
11/6/2018 7:32:29.000000000 PM,35
11/6/2018 7:32:30.000000000 PM,34
11/6/2018 7:32:31.000000000 PM,32
11/6/2018 7:32:32.000000000 PM,30
11/6/2018 7:32:33.000000000 PM,29
11/6/2018 7:32:34.000000000 PM,27
11/6/2018 7:32:35.000000000 PM,25
11/6/2018 7:32:36.000000000 PM,24
11/6/2018 7:32:37.000000000 PM,22
11/6/2018 7:32:38.000000000 PM,20
11/6/2018 7:32:40.000000000 PM,19
11/6/2018 7:32:41.000000000 PM,17
11/6/2018 7:32:42.000000000 PM,15
11/6/2018 7:32:43.000000000 PM,13
11/6/2018 7:32:44.000000000 PM,12
11/6/2018 7:32:45.000000000 PM,10
11/6/2018 7:32:46.000000000 PM,8
11/6/2018 7:32:47.000000000 PM,6
11/6/2018 7:32:48.000000000 PM,5
11/6/2018 7:32:49.000000000 PM,3
11/6/2018 7:32:50.000000000 PM,1
11/6/2018 7:32:51.000000000 PM,0
11/6/2018 7:32:52.000000000 PM,-1
11/6/2018 7:32:53.000000000 PM,-3
11/6/2018 7:32:54.000000000 PM,-5
11/6/2018 7:32:55.000000000 PM,-6
11/6/2018 7:32:56.000000000 PM,-8
11/6/2018 7:32:57.000000000 PM,-10
11/6/2018 7:32:58.000000000 PM,-12
11/6/2018 7:32:59.000000000 PM,-13
11/6/2018 7:33:00.000000000 PM,-15
