dateandtime,NGP,EGT,WF,Status
1/4/2018 14:40,90.1169,1372.01,6146.15,0
1/4/2018 14:45,90.1253,1369.44,6146.15,0
1/4/2018 14:50,90.0491,1366.86,6134.62,0
1/4/2018 14:55,90.083,1370.79,6146.15,0
1/4/2018 15:00,90.0745,1371.91,6134.62,0
1/4/2018 15:05,90.0491,1372.74,6146.15,0
1/4/2018 15:10,90.0068,1369.55,6138.46,0
1/4/2018 15:15,90.0068,1368.32,6126.92,0
1/4/2018 15:20,89.9983,1372.65,6126.92,0
1/4/2018 15:25,89.9644,1369.44,6130.77,0
1/4/2018 15:30,89.9644,1372.18,6119.23,0
1/4/2018 15:35,89.9644,1371.04,6138.46,0
1/4/2018 15:40,89.9729,1371.1,6126.92,0
1/4/2018 15:45,89.9475,1373.9,6126.92,0
1/4/2018 15:50,89.9136,1370.22,6115.38,0
1/4/2018 15:55,89.9221,1372.64,6123.08,0
1/4/2018 16:00,89.8882,1367.21,6115.38,0
1/4/2018 16:05,89.9136,1370.26,6119.23,0
1/4/2018 16:10,89.9475,1371.76,6130.77,0
1/4/2018 16:15,89.8882,1366.51,6111.54,0
1/4/2018 16:20,89.8713,1369.33,6123.08,0
1/4/2018 16:25,89.8713,1370.14,6103.85,0
1/4/2018 16:30,89.8543,1367.39,6115.38,0
1/4/2018 16:35,89.8035,1373.04,6119.23,0
1/4/2018 16:40,89.8289,1370.04,6123.08,0
1/4/2018 16:45,89.8205,1373.64,6103.85,0
1/4/2018 16:50,89.7951,1370.19,6103.85,0
1/4/2018 16:55,89.8035,1372.34,6103.85,0
1/4/2018 17:00,89.7781,1367.44,6107.69,0
1/4/2018 17:05,89.7358,1372.44,6103.85,0
1/4/2018 17:10,89.7781,1368.32,6103.85,0
1/4/2018 17:15,89.7696,1372.83,6111.54,0
1/4/2018 17:20,89.7696,1371.4,6103.85,0
1/4/2018 17:25,89.7781,1367.13,6107.69,0
1/4/2018 17:30,89.7781,1373.08,6103.85,0
1/4/2018 17:35,89.8205,1371.49,6107.69,0
1/4/2018 17:40,89.7866,1371.74,6115.38,0
1/4/2018 17:45,89.812,1368.12,6107.69,0
1/4/2018 17:50,89.7951,1372.29,6107.69,0
1/4/2018 17:55,89.8035,1369.19,6111.54,0
1/4/2018 18:00,89.8205,1371.15,6115.38,0
1/4/2018 18:05,89.8205,1372.79,6119.23,0
1/4/2018 18:10,89.8205,1368.55,6111.54,0
1/4/2018 18:15,89.812,1369.19,6111.54,0
1/4/2018 18:20,89.7866,1372.19,6123.08,0
1/4/2018 18:25,89.8374,1369.42,6107.69,0
1/4/2018 18:30,89.8289,1374.24,6115.38,0
1/4/2018 18:35,89.7696,1374.23,6119.23,0
1/4/2018 18:40,89.812,1370.25,6111.54,0
1/4/2018 18:45,89.8035,1371.05,6115.38,0
1/4/2018 18:50,89.8035,1370.71,6123.08,0
1/4/2018 18:55,89.8289,1372.45,6126.92,0
1/4/2018 19:00,89.8205,1366.54,6126.92,0
1/4/2018 19:05,89.8374,1372.71,6123.08,0
1/4/2018 19:10,89.8628,1366.41,6138.46,0
1/4/2018 19:15,89.9136,1368.58,6134.62,0
1/4/2018 19:20,89.8882,1368.37,6150,0
1/4/2018 19:25,89.956,1371.26,6142.31,0
1/4/2018 19:30,89.9644,1366.74,6150,0
1/4/2018 19:35,89.9983,1372.38,6157.69,0
1/4/2018 19:40,89.9898,1368.69,6153.85,0
1/4/2018 19:45,90.0322,1369.39,6161.54,0
1/4/2018 19:50,90.0322,1373.32,6165.38,0
1/4/2018 19:55,90.0068,1373.33,6161.54,0
1/4/2018 20:00,90.0491,1370.77,6165.38,0
1/4/2018 20:05,90.0661,1366.46,6165.38,0
1/4/2018 20:10,90.0576,1367.91,6169.23,0
1/4/2018 20:15,90.0576,1371.6,6161.54,0
1/4/2018 20:20,90.0661,1373.22,6173.08,0
1/4/2018 20:25,90.0406,1367.42,6169.23,0
1/4/2018 20:30,90.0745,1367.74,6173.08,0
1/4/2018 20:35,90.0745,1370.71,6173.08,0
1/4/2018 20:40,90.0576,1369,6157.69,0
1/4/2018 20:45,90.0491,1371.49,6169.23,0
1/4/2018 20:50,90.083,1370.68,6173.08,0
1/4/2018 20:55,90.0745,1369.38,6169.23,0
1/4/2018 21:00,90.0915,1372.66,6165.38,0
1/4/2018 21:05,90.0745,1369.94,6165.38,0
1/4/2018 21:10,90.083,1369.94,6165.38,0
1/4/2018 21:15,90.0576,1370.35,6173.08,0
1/4/2018 21:20,90.0915,1369.61,6157.69,0
1/4/2018 21:25,90.0406,1368.54,6161.54,0
1/4/2018 21:30,90.0576,1368.59,6176.92,0
1/4/2018 21:35,90.0661,1370.45,6169.23,0
1/4/2018 21:40,90.0661,1369.84,6165.38,0
1/4/2018 21:45,90.0576,1369.03,6165.38,0
1/4/2018 21:50,90.0322,1371.96,6142.31,0
1/4/2018 21:55,90.0152,1373.67,6161.54,0
1/4/2018 22:00,90.0661,1370.93,6146.15,0
1/4/2018 22:05,90.0237,1367.03,6157.69,0
1/4/2018 22:10,90.0322,1370.53,6161.54,0
1/4/2018 22:15,90.0152,1371.41,6161.54,0
1/4/2018 22:20,90.0237,1367.97,6161.54,0
1/4/2018 22:25,90.0152,1366.48,6153.85,0
1/4/2018 22:30,89.9983,1371.94,6161.54,0
1/4/2018 22:35,90.0068,1366.74,6150,0
1/4/2018 22:40,89.9983,1371.21,6150,0
1/4/2018 22:45,90.0237,1367.01,6153.85,0
1/4/2018 22:50,89.83877021,1367.618,6047.970495,2
1/4/2018 22:55,89.62020623,1367.936,6044.191458,2
1/4/2018 23:00,89.3681074,1373.724,6044.191458,2
1/4/2018 23:05,89.18347651,1369.532,6044.191458,2
1/4/2018 23:10,89.04086342,1369.5,6044.191458,2
1/4/2018 23:15,88.87301614,1367.798,6044.191458,2
1/4/2018 23:20,88.72180368,1375.546,6051.739716,2
1/4/2018 23:25,88.56212493,1372.074,6044.191458,2
1/4/2018 23:30,88.38577804,1371.082,6044.191458,2
1/4/2018 23:35,88.20109776,1375.52,6036.6432,2
1/4/2018 23:40,88.04140102,1370.718,6029.094942,2
1/4/2018 23:45,87.85673739,1373.766,6029.094942,2
1/4/2018 23:50,87.68039051,1373.224,6032.864163,2
1/4/2018 23:55,87.45463758,1373.572,6032.864163,2
1/5/2018 0:00,87.27839026,1372.35,6029.094942,2
1/5/2018 0:05,87.11037638,1373.958,6036.6432,2
1/5/2018 0:10,86.91767885,1374.836,6025.315905,2
1/5/2018 0:15,86.76595208,1375.194,6025.315905,2
1/5/2018 0:20,86.54076343,1371.452,6021.546684,2
1/5/2018 0:30,86.27513208,1375.31,6021.546684,2
1/5/2018 0:35,86.05847887,1371.878,6017.767647,2
1/5/2018 0:40,85.88256358,1377.536,6025.315905,2
1/5/2018 0:45,85.7147651,1372.614,6029.094942,2
1/5/2018 0:50,85.55493818,1371.972,6017.767647,2
1/5/2018 0:55,85.3870566,1371.56,6021.546684,2
1/5/2018 1:00,85.4514393,1378.65,5829.17216,2
1/5/2018 1:05,85.4353674,1374.98,5840.15824,2
1/5/2018 1:10,85.4272839,1377.66,5847.47912,2
1/5/2018 1:15,85.411212,1374.47,5840.15824,2
1/5/2018 1:20,85.4192955,1376.8,5829.17216,2
1/5/2018 1:25,85.4514393,1371.94,5829.17216,2
1/5/2018 1:30,85.4676063,1372.51,5843.81392,2
1/5/2018 1:35,85.4434509,1377.86,5836.49304,2
1/5/2018 1:40,85.4514393,1379.99,5829.17216,2
1/5/2018 1:45,85.4514393,1372.05,5836.49304,2
1/5/2018 1:50,85.4836782,1376.75,5840.15824,2
1/5/2018 1:55,85.4755947,1373.08,5829.17216,2
1/5/2018 2:00,85.4917617,1375.45,5832.82784,2
1/5/2018 2:05,85.4998452,1376.41,5843.81392,2
1/5/2018 2:10,85.4917617,1374.73,5829.17216,2
1/5/2018 2:15,85.4917617,1377.1,5836.49304,2
1/5/2018 2:20,85.5078336,1372.89,5847.47912,2
1/5/2018 2:25,85.4676063,1374.04,5836.49304,2
1/5/2018 2:30,85.5078336,1376.75,5843.81392,2
1/5/2018 2:35,85.5078336,1378.16,5832.82784,2
1/5/2018 2:40,85.4998452,1372.78,5840.15824,2
1/5/2018 2:45,85.5159171,1377.74,5836.49304,2
1/5/2018 2:50,85.5159171,1375.41,5821.84176,2
1/5/2018 2:55,85.5078336,1375.76,5836.49304,2
1/5/2018 3:00,85.4917617,1378.09,5840.15824,2
1/5/2018 3:05,85.5159171,1377.7,5832.82784,2
1/5/2018 3:10,85.5078336,1374.19,5840.15824,2
1/5/2018 3:15,85.4595228,1376.48,5836.49304,2
